gene	TGFb_t24_FDR	TGFb_t24_logFC	TGFb_t48_FDR	TGFb_t48_logFC	TGFb_t72_FDR	TGFb_t72_logFC	Thrombin_t24_FDR	Thrombin_t24_logFC	Thrombin_t48_FDR	Thrombin_t48_logFC	Thrombin_t72_FDR	Thrombin_t72_logFC
ENSG00000136274					 1.555e-30	-1.507e+00					 6.443e-37	-1.652e+00
ENSG00000159674											 8.231e-90	-1.095e+00
ENSG00000275266											 6.511e-05	-4.612e+00
ENSG00000166106	 8.871e-56	-1.586e+00	1.695e-159	-1.548e+00	 2.600e-88	-2.881e+00	 2.277e-46	-1.344e+00	 0.000e+00	-4.021e+00	7.914e-160	-4.567e+00
ENSG00000106415									 8.878e-19	-1.004e+00		
ENSG00000172053					4.071e-119	-1.082e+00					1.332e-228	-1.521e+00
ENSG00000149489									 3.700e-29	-1.075e+00	 2.795e-39	-1.499e+00
ENSG00000070371			5.354e-164	 1.560e+00					1.608e-270	 1.837e+00		
ENSG00000257524	 3.747e-05	-1.067e+00	 1.012e-07	-1.018e+00	 7.023e-16	-1.361e+00			 5.647e-15	-1.231e+00	 3.536e-15	-1.459e+00
ENSG00000170017					4.345e-165	 1.522e+00					 0.000e+00	 2.473e+00
ENSG00000277383											 5.506e-07	-1.394e+00
ENSG00000188747	 1.204e-14	-2.129e+00					 6.416e-06	-1.065e+00				
ENSG00000141526									4.738e-186	 1.213e+00		
ENSG00000108691					 1.963e-60	 1.211e+00	3.289e-149	 1.726e+00	 0.000e+00	 2.377e+00	3.786e-253	 2.358e+00
ENSG00000118137	 1.658e-05	-1.123e+00	 1.065e-09	-2.374e+00	 6.034e-12	-3.077e+00			 3.997e-06	-1.410e+00	 1.879e-06	-1.592e+00
ENSG00000160752					2.054e-190	-1.399e+00					 1.574e-88	-1.064e+00
ENSG00000101298											 1.077e-25	-1.029e+00
ENSG00000144891											 2.487e-07	-1.167e+00
ENSG00000151632									 9.385e-73	-1.519e+00		
ENSG00000129116									3.559e-212	 1.430e+00		
ENSG00000225518											 2.530e-06	-1.412e+00
ENSG00000183814					 3.083e-07	-1.173e+00					 4.507e-08	-1.191e+00
ENSG00000134107	1.004e-244	 1.584e+00	3.640e-263	 1.511e+00			 3.599e-77	 1.077e+00	1.564e-300	 1.508e+00	 2.848e-76	 1.059e+00
ENSG00000136824					 7.194e-50	-1.088e+00					 2.680e-53	-1.154e+00
ENSG00000121691											2.005e-129	-1.315e+00
ENSG00000146918					 3.627e-32	-1.222e+00					 3.273e-36	-1.253e+00
ENSG00000169851	4.866e-300	-1.508e+00			3.861e-183	-1.546e+00					4.493e-262	-1.898e+00
ENSG00000156398					 9.960e-26	-1.441e+00					 4.738e-48	-2.059e+00
ENSG00000173918	1.396e-113	-1.082e+00			1.016e-155	-1.598e+00					2.101e-138	-1.446e+00
ENSG00000205517					 2.125e-18	-1.220e+00					 1.001e-17	-1.104e+00
ENSG00000267519									 1.199e-41	 1.001e+00		
ENSG00000066279					 3.357e-63	-2.815e+00					 2.714e-83	-2.876e+00
ENSG00000197142	 1.224e-11	-1.400e+00										
ENSG00000072163									 2.904e-74	 1.612e+00		
ENSG00000196628											4.917e-225	-1.582e+00
ENSG00000189221	 0.000e+00	-1.720e+00	 7.680e-71	-1.257e+00								
ENSG00000235852									 2.255e-06	 1.291e+00		
ENSG00000273038					 2.899e-37	-1.362e+00						
ENSG00000198728					1.763e-123	-1.214e+00					2.017e-225	-1.550e+00
ENSG00000099849					 7.336e-21	-1.336e+00						
ENSG00000100625					 5.319e-69	 1.526e+00					 2.155e-24	 1.010e+00
ENSG00000139173					 7.383e-18	-1.002e+00					 5.003e-41	-1.643e+00
ENSG00000272686			 2.679e-08	-1.014e+00					 2.430e-16	-1.133e+00		
ENSG00000133101			 2.856e-07	-1.470e+00	 8.755e-09	-1.392e+00						
ENSG00000167779					 1.257e-89	-1.209e+00					 5.585e-87	-1.149e+00
ENSG00000176692							 1.810e-38	 1.019e+00	 4.758e-46	 1.382e+00		
ENSG00000227467									 3.809e-39	 2.288e+00	 1.753e-27	 1.816e+00
ENSG00000162804									1.200e-106	-1.477e+00	 0.000e+00	-2.246e+00
